"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 07 12:24:52 EEST 2022","Tue Jun 07 12:24:56 EEST 2022","4076","","[Folders] Operation with folders in IPFS storage","","","","C57 Download folder using the Topbar",""
"passed","Tue Jun 07 12:19:54 EEST 2022","Tue Jun 07 12:19:59 EEST 2022","5433","","[#HomePage] Check the GhostDrive homepage","","","","Check the GhostDrive homepage title",""
"passed","Tue Jun 07 12:23:43 EEST 2022","Tue Jun 07 12:23:48 EEST 2022","5318","","[Folders] Operation with folders in IPFS storage","","","","C45 Move folder with file to ""DELETED"" via Contextmenu",""
"passed","Tue Jun 07 12:23:34 EEST 2022","Tue Jun 07 12:23:38 EEST 2022","3994","","[Folders] Operation with folders in IPFS storage","","","","C39 Add tag to folder using the context menu",""
"passed","Tue Jun 07 12:26:25 EEST 2022","Tue Jun 07 12:26:29 EEST 2022","4348","","[Secret Notes] Operation with ""Secret Notes"" dApps","","","","C214 Delete a note",""
"passed","Tue Jun 07 12:25:14 EEST 2022","Tue Jun 07 12:25:15 EEST 2022","1735","","[Folders] Operation with folders in IPFS storage","","","","C97 Restore deleted folder with file from “DELETED” via Top bar",""
"passed","Tue Jun 07 12:23:20 EEST 2022","Tue Jun 07 12:23:24 EEST 2022","4428","","[Folders] Operation with folders in IPFS storage","","","","C37 Rename an existing folder using the context menu",""
"passed","Tue Jun 07 12:25:02 EEST 2022","Tue Jun 07 12:25:08 EEST 2022","5833","","[Folders] Operation with folders in IPFS storage","","","","C93 Check the analytics of the folder with 1 downloads and 1 file using the context menu",""
"skipped","Tue Jun 07 12:20:49 EEST 2022","Tue Jun 07 12:20:49 EEST 2022","1","","[Files] Operation with files","","","","C68 When user previewing file he wants print file",""
"passed","Tue Jun 07 12:20:41 EEST 2022","Tue Jun 07 12:20:48 EEST 2022","7643","","[Files] Operation with files","","","","C51 Upload Small SVG file to folder",""
"passed","Tue Jun 07 12:25:24 EEST 2022","Tue Jun 07 12:25:26 EEST 2022","2324","","[Folders] Operation with folders in IPFS storage","","","","C43 Download folder with children folders and files",""
"failed","Tue Jun 07 12:21:13 EEST 2022","Tue Jun 07 12:21:21 EEST 2022","7850","","[Files] Operation with files","","","","C77 Add PIN code to file via right Sidebar",""
"passed","Tue Jun 07 12:24:05 EEST 2022","Tue Jun 07 12:24:12 EEST 2022","7181","","[Folders] Operation with folders in IPFS storage","","","","C55 Move folder B to folder A via ""drag and drop""",""
