"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 13:15:35 UTC 2022","Mon May 23 13:15:41 UTC 2022","5936","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C91 Deactivate the security PIN of the folder using the right Sidebar",""
"passed","Mon May 23 13:05:55 UTC 2022","Mon May 23 13:06:11 UTC 2022","16500","","[Files] IO operation with files in IPFS storage","","","","C183 Preview file with PIN by double click",""
"skipped","Mon May 23 13:00:20 UTC 2022","Mon May 23 13:00:20 UTC 2022","1","","[Astro] [IPFS] [Workspaces] Create workspace","","","","(C18) User wants to creates workspace with ""Ghost Cloud"" storage",""
"passed","Mon May 23 13:02:04 UTC 2022","Mon May 23 13:02:18 UTC 2022","14221","","[Files] IO operation with files in IPFS storage","","","","C65 Upload any file",""
"passed","Mon May 23 13:12:39 UTC 2022","Mon May 23 13:12:57 UTC 2022","17619","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C47 Delete empty folder from ""DELETED"" via Topbar",""
"passed","Mon May 23 13:06:15 UTC 2022","Mon May 23 13:06:27 UTC 2022","12766","","[Files] IO operation with files in IPFS storage","","","","C67 Download file in preview mode using the Topbar",""
"skipped","Mon May 23 13:02:03 UTC 2022","Mon May 23 13:02:03 UTC 2022","1","","[Files] IO operation with files in IPFS storage","","","","C68 When user previewing file he wants print file",""
"passed","Mon May 23 13:04:26 UTC 2022","Mon May 23 13:04:38 UTC 2022","12792","","[Files] IO operation with files in IPFS storage","","","","C80 Delete file from ""DELETED"" using the context menu",""
"passed","Mon May 23 13:12:57 UTC 2022","Mon May 23 13:13:22 UTC 2022","24341","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C48 Delete folder with any file from ""DELETED"" via Contextmenu",""
"passed","Mon May 23 13:03:17 UTC 2022","Mon May 23 13:03:33 UTC 2022","16052","","[Files] IO operation with files in IPFS storage","","","","C70 Move the file to a folder using the context menu",""
"passed","Mon May 23 13:15:23 UTC 2022","Mon May 23 13:15:29 UTC 2022","5389","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C97 Restore deleted folder with file from “DELETED” via Top bar",""
"passed","Mon May 23 13:17:19 UTC 2022","Mon May 23 13:17:32 UTC 2022","13506","","[Notes] CRUD operation with secret notes","","","","C209 Adding a title to the note",""
"skipped","Mon May 23 13:17:09 UTC 2022","Mon May 23 13:17:09 UTC 2022","2","","[Notes] CRUD operation with secret notes","","","","C211  Printing a note",""
"passed","Mon May 23 12:59:50 UTC 2022","Mon May 23 12:59:51 UTC 2022","1588","","[Smoke] [LoginPage] Check the GhostDrive homepage","","","","Check Cookie Policy link",""
"passed","Mon May 23 13:05:11 UTC 2022","Mon May 23 13:05:29 UTC 2022","17911","","[Files] IO operation with files in IPFS storage","","","","C76 Download file using the Topbar",""
"passed","Mon May 23 13:13:57 UTC 2022","Mon May 23 13:14:17 UTC 2022","19386","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C57 Download folder using the Topbar",""
"passed","Mon May 23 13:05:31 UTC 2022","Mon May 23 13:05:42 UTC 2022","11092","","[Files] IO operation with files in IPFS storage","","","","C78 Download file using the context menu",""
"passed","Mon May 23 13:16:03 UTC 2022","Mon May 23 13:16:13 UTC 2022","10360","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C220 Delete folder with tag from trash",""
"skipped","Mon May 23 13:00:20 UTC 2022","Mon May 23 13:00:20 UTC 2022","3","","[Astro] [IPFS] [Workspaces] Create workspace","","","","(C17) User wants to creates workspace with ""IPFS"" storage",""
"passed","Mon May 23 13:09:38 UTC 2022","Mon May 23 13:09:52 UTC 2022","14016","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C40 Add comment to folder using the context menu",""
"passed","Mon May 23 13:03:03 UTC 2022","Mon May 23 13:03:15 UTC 2022","12227","","[Files] IO operation with files in IPFS storage","","","","C74 Add a comment to the file using the right sidebar",""
"passed","Mon May 23 13:03:58 UTC 2022","Mon May 23 13:04:24 UTC 2022","25369","","[Files] IO operation with files in IPFS storage","","","","C184 Deactivate the security PIN of the file using the right Sidebar",""
"passed","Mon May 23 13:18:39 UTC 2022","Mon May 23 13:18:52 UTC 2022","12743","","[Notes] CRUD operation with secret notes","","","","C216 Delete some text and use ""Redo"" arrow",""
"failed","Mon May 23 13:04:51 UTC 2022","Mon May 23 13:05:09 UTC 2022","18599","","[Files] IO operation with files in IPFS storage","","","","C95 Restore a file from ""DELTED"" using the context menu",""
"passed","Mon May 23 13:08:44 UTC 2022","Mon May 23 13:09:02 UTC 2022","17228","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C50 Create children folder using the Topbar menu",""
"passed","Mon May 23 13:15:47 UTC 2022","Mon May 23 13:15:52 UTC 2022","5575","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C42 Download folder with file",""
"passed","Mon May 23 13:15:58 UTC 2022","Mon May 23 13:16:03 UTC 2022","5117","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C221 Delete folder with added color from trash",""
"passed","Mon May 23 13:07:08 UTC 2022","Mon May 23 13:07:23 UTC 2022","14739","","[Files] IO operation with files in IPFS storage","","","","C226 Delete file with added tag from ""DELETED"" using the context menu",""
"passed","Mon May 23 13:15:41 UTC 2022","Mon May 23 13:15:47 UTC 2022","5411","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C41 Download empty folder",""
"passed","Mon May 23 13:17:09 UTC 2022","Mon May 23 13:17:18 UTC 2022","8976","","[Notes] CRUD operation with secret notes","","","","C208 Create the note using the plus button",""
"passed","Mon May 23 13:09:54 UTC 2022","Mon May 23 13:10:07 UTC 2022","13242","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C39 Add tag to folder using the context menu",""
"passed","Mon May 23 13:09:03 UTC 2022","Mon May 23 13:09:20 UTC 2022","16536","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C37 Rename an existing folder using the context menu",""
"passed","Mon May 23 13:06:29 UTC 2022","Mon May 23 13:06:45 UTC 2022","16330","","[Files] IO operation with files in IPFS storage","","","","C180 Check analytics of file with comment using the context menu",""
"passed","Mon May 23 13:18:18 UTC 2022","Mon May 23 13:18:25 UTC 2022","7607","","[Notes] CRUD operation with secret notes","","","","C214 Delete a note",""
"passed","Mon May 23 13:16:13 UTC 2022","Mon May 23 13:16:17 UTC 2022","3690","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C225 Delete folder with comment from trash",""
"passed","Mon May 23 13:16:54 UTC 2022","Mon May 23 13:17:07 UTC 2022","13013","","[Notes] CRUD operation with secret notes","","","","C207 Create the first note by following the link in the middle section",""
"passed","Mon May 23 13:10:09 UTC 2022","Mon May 23 13:10:23 UTC 2022","13751","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C44 Move empty folder to ""DELETED"" via Contextmenu",""
"passed","Mon May 23 13:02:20 UTC 2022","Mon May 23 13:02:33 UTC 2022","12815","","[Files] IO operation with files in IPFS storage","","","","C71 Rename an existing file by context menu",""
"failed","Mon May 23 13:15:04 UTC 2022","Mon May 23 13:15:22 UTC 2022","17163","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C98 Restore folder from ""DELETED"" using the context menu",""
"passed","Mon May 23 13:12:19 UTC 2022","Mon May 23 13:12:37 UTC 2022","18604","","[Astro] [IPFS] [Folders] CRUD operation with folders in IPFS storage","","","","C60 Open the folder with active security PIN",""
"passed","Mon May 23 13:17:48 UTC 2022","Mon May 23 13:17:59 UTC 2022","11586","","[Notes] CRUD operation with secret notes","","","","C212 Download notes as PDF",""
"passed","Mon May 23 13:17:33 UTC 2022","Mon May 23 13:17:47 UTC 2022","13640","","[Notes] CRUD operation with secret notes","","","","C217 Adding some text to the note",""
"passed","Mon May 23 13:03:46 UTC 2022","Mon May 23 13:03:57 UTC 2022","10738","","[Files] IO operation with files in IPFS storage","","","","C182 Activate the security PIN of the file using the right Sidebar",""
